Airport	Country	Area	Router	Type	Interface	Layer2	Speed	IPBW	DNA	URN	USID	MTN	POP	Carrier	CircuitRef	OB	SerialId	Booking	Meshing	OB_Ratio	ServiceNetType
EDI	UNITED KINGDOM		PEDI227	Secondary	fastethernet0/1	MEA	100000	30000			FI01SA5295		LONT04	BT WHOLESALE	ETBA12660450				airporthubnet		APH
EDI	UNITED KINGDOM		PEDI227	Secondary	gigabitethernet0/0/1	MEA	100000	30000			FI029Q81CC		LONT04						airporthubnet		APH
EIN	NETHERLANDS		PEIN655	Primary	gigabitethernet8	DSL	8192	2000			GO074TQHFF		FRAT01	SELECT OFFNET	CA0C2DA3A2				airporthubnet		APH
EIN	NETHERLANDS		PEIN656	Secondary	gigabitethernet8	DSL	16384	10240			GO074TQKFC		AMSX01	SELECT OFFNET	CA0D4RHKC2				airporthubnet		APH
EVN	ARMENIA		PEVN176	Primary	gigabitethernet0/1	MEA	1000000	4000			FI026TVEA6		EVNT02						airporthubnet		APH
EVN	ARMENIA		PEVN177	Secondary	gigabitethernet0/1	DSL	15000	6000			FI01M3Z7BC		FRAX01	Select Offnet	44K/CILL/54210/54100/1				airporthubnet		APH
EWR1	UNITED STATES		PEWR1005	Primary	atm0	DSL	1000000				GO0CHLWC32		NYCT02	VERIZON BUSINESS	CA0DTKH3EA				airporthubnet		APH
EWR1	UNITED STATES		PEWR1005	Primary	gigabitethernet0/0/0	MEA	1000000	30000			FI027DWEC6		NYCT02	VERIZON BUSINESS	E4104799/ KFGS.319546..NJ/ C1186646				airporthubnet		APH
EWR1	UNITED STATES		PEWR1006	Secondary	gigabitethernet0/0/0	DSL	100000	100000			FI025YFH86		NYCT02	LUMEN TECHNOLOGIES LLC	UNI:NJ/KXFN/612859/LVLC				airporthubnet		APH
EWR	UNITED STATES		PEWR302	Primary	gigabitethernet0/0/0	MEA	1000000	50000			FI020HVEED		NYCT02	AT&T	KQGN.920887..ATI				airporthubnet		APH
EWR	UNITED STATES		PEWR303	Secondary	gigabitethernet0/0/0	MEA	1000000	50000			FI029RZ2C5		PHLX01						airporthubnet		APH
EZE	ARGENTINA		PEZE069	Primary	gigabitethernet0/1	MEA	100000	30000	-	-	FI01RVN0E6	KAEP610	BUEL01	TELECOM ARGENTINA					airporthubnet		APH
EZE	ARGENTINA		PEZE070	Secondary	gigabitethernet0/1	MEA	100000	30000			FI027WKXB2		SAOL02	LUMEN TECHNOLOGIES LLC	ILM286				airporthubnet		APH
FAO	PORTUGAL		PFAO094	Primary	gigabitethernet0/0/1	MEA	100000	2000			FI01XRMP9D		LIST03	NOS COMUNICACOES S.A.	DF_CEPL327736				airporthubnet		APH
FAO	PORTUGAL		PFAO095	Secondary	gigabitethernet0/0/1	DSL	6144	6144			FI01XRND89		LONX03	NOS COMUNICACOES S.A.	IF_NETFIXA282561				airporthubnet		APH
