HAV,,CUBA,,SHAV258,Standalone,256K,60529,,"deutsche lufthansa ag",lhcutenet_embargo,SHAV2891,GigabitEthernet0/0/2.18,gigabitethernet0/0/2,lhcutenet_embargo,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,10240K,218,,"delta air lines inc.",dlnet,PHAV314,GigabitEthernet0/0/1.4,gigabitethernet0/0/1,dlnet,10240,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
KRT,,SUDAN,,PKRT217,Standalone,256K,91,,"al-yemenia - yemen airways",yemen_airnet,PKRT234,GigabitEthernet0/0/0.11,gigabitethernet0/0/0,yemen_airnet,256,,bnbo817,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,4096K,58901,,"sita multi-customer hub infrastructure",amrnet_HOG,PHAV312,GigabitEthernet0/0/1.63,gigabitethernet0/0/1,amrnet_HOG,4096,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,192K,35503,,"sita corp. data",sita_corpnet,SHAV2751,GigabitEthernet0/0/2.22,gigabitethernet0/0/2,sita_corpnet,192,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,PHAV257,Standalone,256K,77,,"turk hava yollari a.o",turkish_air_pilot_net,PHAV292,GigabitEthernet0/0/1.46,gigabitethernet0/0/1,turkish_air_pilot_net,256,,BKIN816,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,256K,676,,"sita aircom",aircomvhfnet,SHAV2881,GigabitEthernet0/0/2.25,gigabitethernet0/0/2,aircomvhfnet,256,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,128K,414,,"globalia corporacion empresarial s.a. dba air europa lineas aereas",globalianet,SHAV2911,GigabitEthernet0/0/2.27,gigabitethernet0/0/2,globalianet,128,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,10240K,218,,"delta air lines inc.",dlnet,SHAV314,GigabitEthernet0/0/2.45,gigabitethernet0/0/2,dlnet,10240,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
HAV,,CUBA,,SHAV258,Standalone,512K,361,,"virgin atlantic airways",vsnet,SHAV2761,GigabitEthernet0/0/2.36,gigabitethernet0/0/2,vsnet,512,,PHAV257,,,,,,,,,,,,,,,,,,,,,APH
