Device_name1	ORD__Customer_code	ORD__Customer_name	ORD__Main_Community___VPN	ORD__Country_code	ORD__Country_name	UCPE_name1	AirportHub_id	profile	vedge_mpls_interface1	airporthub_router1	mpls_bw1	internet_bw1	Device_name2	UCPE_name2	vedge_mpls_interface2	mpls_bw2	airporthub_router2	internet_bw2	interface1	interface2
PFRA4273	85	cathay pacific airways	cxnet	DE	GERMANY	UCPEFRA0001	FRA	Gold	ge0/0.1502	PFRA1021	3072	10240	PFRA4274	UCPEFRA0002	ge0/4.3951	3072	PFRA1023	10240	gigabitethernet0/0/1	gigabitethernet0/0/1
PFRA4312	166	china airlines ltd.	china_airnet	DE	GERMANY	UCPEFRA0001	FRA	Gold	ge0/0.1505	PFRA1021	2048	5120	PFRA4313	UCPEFRA0002	ge0/4.3951	2048	PFRA1023	5120	gigabitethernet0/0/1	gigabitethernet0/0/1
PFRA4326	60	singapore airlines ltd.	sqnet	DE	GERMANY	UCPEFRA0001	FRA	Platinum	ge0/0.1503	PFRA1021	5120	8192	PFRA4327	UCPEFRA0002	ge0/4.3951	5120	PFRA1023	8192	gigabitethernet0/0/1	gigabitethernet0/0/1
PFRA4345	387	emirates	emiratesnet_aph	DE	GERMANY	UCPEFRA0001	FRA	Gold	ge0/0.1507	PFRA1021	3072	20480	PFRA4346	UCPEFRA0002	ge0/4.3951	3072	PFRA1023	20480	gigabitethernet0/0/1	gigabitethernet0/0/1
PFRA4438	164	united airlines  inc.	unitednet	DE	GERMANY	UCPEFRA0003	FRA		ge0/0.1510	PFRA1021	15360	51200	PFRA4439	UCPEFRA0004	ge0/4.3951	15360	PFRA1023	51200	gigabitethernet0/0/1	gigabitethernet0/0/1
PFUK258	60	singapore airlines ltd.	sqnet	JP	JAPAN	UCPEFUK0001	FUK	Platinum	ge0/0.1503	PFUK071	2048	5120	PFUK260	UCPEFUK0002	ge0/4.3951	2048	PFUK072	5120	gigabitethernet0/0/1	gigabitethernet0/0/1
PFUK263	85	cathay pacific airways	cxnet	JP	JAPAN	UCPEFUK0001	FUK	Gold	ge0/0.1502	PFUK071	1536	15360	PFUK264	UCPEFUK0002	ge0/4.3951	2048	PFUK072	15360	gigabitethernet0/0/1	gigabitethernet0/0/1
PFUK267	166	china airlines ltd.	china_airnet	JP	JAPAN	UCPEFUK0001	FUK	Gold	ge0/0.1505	PFUK071	1536	8192	PFUK268	UCPEFUK0002	ge0/4.3951	1536	PFUK072	8192	gigabitethernet0/0/1	gigabitethernet0/0/1
PGIG245	164	united airlines  inc.	unitednet	BR	BRAZIL	UCPEGIG0001	GIG	Gold	ge0/0.1510	PGIG075	10240	30720	PGIG246	UCPEGIG0002	ge0/4.3951	10240	PGIG076	30720	serial1/0	gigabitethernet0/2
PGIG248	387	emirates	emiratesnet_aph	BR	BRAZIL	UCPEGIG0001	GIG		ge0/0.1507	PGIG075	1024	5120	PGIG249	UCPEGIG0002	ge0/4.3951	1024	PGIG076	5120	serial1/0	gigabitethernet0/2
PGRU317	164	united airlines  inc.	unitednet	BR	BRAZIL	UCPEGRU0001	GRU	Gold	ge0/0.1510	PGRU077	10240	30720	PGRU318	UCPEGRU0002	ge0/4.3951	10240	PGRU078	30720	gigabitethernet0/1	
PGRU334	387	emirates	emiratesnet_aph	BR	BRAZIL	UCPEGRU0001	GRU		ge0/0.1507	PGRU077	1536	8192	PGRU335	UCPEGRU0002	ge0/4.3951	1536	PGRU078	8192	gigabitethernet0/1	
PHAN611	85	cathay pacific airways	cxnet		VIET NAM	UCPEHAN0003	HAN	Gold	ge0/0.1502	PHAN122	1024	2048	PHAN612	UCPEHAN0004	ge0/4.3951	1024		2048	gigabitethernet0/0/1	
PHAN617	60	singapore airlines ltd.	sqnet	VN	VIET NAM	UCPEHAN0003	HAN	Platinum	ge0/0.1503	PHAN122	2048	4096	PHAN618	UCPEHAN0004	ge0/4.3951	2048		4096	gigabitethernet0/0/1	
PHAN640	387	emirates	emiratesnet_aph	VN	VIET NAM	UCPEHAN0003	HAN		ge0/0.1507	PHAN122	1024	3072	PHAN641	UCPEHAN0004	ge0/4.3951	1024		3072	gigabitethernet0/0/1	
PHKG3825	60	singapore airlines ltd.	sqnet	HK	HONG KONG	UCPEHKG0003	HKG	Platinum	ge0/0.1503	PHKG1347	5120	18432	PHKG3826	UCPEHKG0004	ge0/4.3951	5120	PHKG1348	5120	gigabitethernet0/0/1	
PHKG3868	113	p.t. garuda indonesia (persero)	ganet	HK	HONG KONG	UCPEHKG0003	HKG	Gold	ge0/0.1504	PHKG1347	1024	6144	PHKG3869	UCPEHKG0004	ge0/4.3951	1024	PHKG1348	6144	gigabitethernet0/0/1	
