UCPE_name	hypervisor	CE_USID	IATA_code	site_code	customer_code	customer_code_catalog	chassis_vendor	chassis_hardware	CORE_site_id	chassis_type	plug_type	network_status	booking_status	remaining_days_to_delete	Last_update	CPU	Memory	Storage	Max_VNF	airporthub_router	role
UCPEHND0002	HHND0002	GO09UV4154	HND	HND	53849	IC01	cisco	encs5412/k9	CI00167841	BVPN	BVPNINT	No	Reserved	-	2019/09/27 08:01:49	12.0	16000.0	480000.0	4	PHND205	Secondary
UCPEHND0003	HHND0003	GO0AJUF23E	HND	HND	53849	IC01	cisco	encs5412/k9	CI00167841	BVPN	BVPNINT	No	Reserved	-	2022/02/21 11:57:00	12.0	16000.0	480000.0	4	PHND204	Primary
UCPEHND0004	HHND0004	GO0AJUF03C	HND	HND	53849	IC01	cisco	encs5412/k9	CI00167841	BVPN	BVPNINT	No	Reserved	-	2022/03/07 03:25:53	12.0	16000.0	480000.0	4	PHND205	Secondary
UCPEHNL0001	HHNL0001	GO0DSXZ553	HNL	HNL	53849	IC01	cisco	encs5412/k9	CI00202775	BVPN	BVPNINT	No	Reserved	-	2022/04/19 14:36:55	12.0	16000.0	480000.0	4	PHNL124	Primary
UCPEHNL0002	HHNL0002	GO0DSXZ355	HNL	HNL	53849	IC01	cisco	encs5412/k9	CI00202775	BVPN	BVPNINT	No	Reserved	-	2022/04/19 14:43:36	12.0	16000.0	480000.0	4	PHNL125	Secondary
UCPEHYD0001	HHYD0001	GO0CT4PE27	HYD	HYD	53849	IC01	cisco	encs5412/k9	CI00194607	BVPN	BVPNINT	No	Reserved	-	2022/01/27 05:49:16	12.0	16000.0	480000.0	4	PHYD121	Primary
UCPEHYD0002	HHYD0002	GO0CT4SE27	HYD	HYD	53849	IC01	cisco	encs5412/k9	CI00118725	BVPN	BVPNINT	No	Reserved	-	2022/01/27 11:43:49	12.0	16000.0	480000.0	4	PHYD122	Secondary
UCPEIAD0001	HIAD0001	GO09SZ2Q1C	IAD	IAD	53849	IC01	cisco	encs5412/k9	CI00168250	BVPN	BVPNINT	No	Reserved	-	2019/11/28 21:54:39	12.0	16000.0	480000.0	4		
UCPEIAD0002	HIAD0002	GO09SZ2S1E	IAD	IAD	53849	IC01	cisco	encs5412/k9	CI00168250	BVPN	BVPNINT	No	Reserved	-	2019/11/28 22:00:21	12.0	16000.0	480000.0	4		
UCPEIAH0001	HIAH0001	GO0ALR1528	IAH	IAH	53849	IC01	cisco	encs5412/k9	CI00177931	BVPN	BVPNINT	No	Reserved	-	2021/02/03 14:08:53	12.0	16000.0	480000.0	4	PIAH024	Primary
UCPEIAH0002	HIAH0002	GO0ALR172A	IAH	IAH	53849	IC01	cisco	encs5412/k9	CI00177931	BVPN	BVPNINT	No	Reserved	-	2021/02/03 14:23:26	12.0	16000.0	480000.0	4	PIAH025	Secondary
UCPEICN0001	HICN0001	GO09QA4420	ICN	ICN	53849	IC01	cisco	encs5412/k9	CI00165755	BVPN	BVPNINT	No	Reserved	-	2019/09/16 07:08:41	12.0	16000.0	480000.0	4	PICN015	Primary
UCPEICN0002	HICN0002	GO09QA4622	ICN	ICN	53849	IC01	cisco	encs5412/k9	CI00165755	BVPN	BVPNINT	No	Reserved	-	2019/09/16 07:19:16	12.0	16000.0	480000.0	4	PICN016	Secondary
UCPEICN0003	HICN0003	GO0A8V093A	ICN	ICN	53849	IC01	cisco	encs5412/k9	CI00165755	BVPN	BVPNINT	No	Reserved	-	2022/03/07 03:36:37	12.0	16000.0	480000.0	4	PICN015	Primary
UCPEICN0004	HICN0004	GO0A8V0B41	ICN	ICN	53849	IC01	cisco	encs5412/k9	CI00165755	BVPN	BVPNINT	No	Reserved	-	2022/03/07 03:42:21	12.0	16000.0	480000.0	4	PICN016	Secondary
UCPEJFK0001	HJFK0001	FI01Y8HMFF	JFK	JFK8	53849	IC01	cisco	encs5412/k9	MS12005990	BVPN	BVPNINT	No	Reserved	-	2018/11/13 15:49:07	12.0	16000.0	480000.0	4	PJFK468	Primary
UCPEJFK0002	HJFK0002	FI01Y8HGF5	JFK	JFK8	53849	IC01	cisco	encs5412/k9	MS12005990	BVPN	BVPNINT	No	Reserved	-	2018/11/13 17:26:16	12.0	16000.0	480000.0	4	PJFK469	Secondary
UCPEJFK0003	HJFK0003	GO0AN0ED15	JFK	JFK4	53849	IC01	cisco	encs5412/k9	CI00178461	BVPN	BVPNINT	No	Reserved	-	2020/10/16 12:39:56	12.0	16000.0	480000.0	4	PJFK125	Primary
UCPEJFK0004	HJFK0004	GO0AN0G667	JFK	JFK4	53849	IC01	cisco	encs5412/k9	CI00178463	BVPN	BVPNINT	No	Reserved	-	2020/10/16 12:54:42	12.0	16000.0	480000.0	4	PJFK126	Secondary
