Device_name	Device_reference	interface_name	Status_Up_Down	HW_Status	Prot__status	Itf__use	Interface_description	Bandwidth	UCPE_name	Site_Code_Iata	Provider	UploadSpeed	DownloadSpeed	CarrierZoneRef	Offer_NAME	DSLServicetype
PCDG812	PCDG812	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET FR < 200M	WAN1 ORCH=RESEAU	1000000	UCPECDG0002	CDG1	Select Offnet	181000	159000	SF3ABXEN00	SIA Offnet FR < 200M	Select DSL
PCEB138	PCEB138	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IGATE 50M	WAN1 ORCH=RESEAU	1000000	UCPECEB0001	CEB	PLDT	50000	50000	PHL0061281	VMS IGate 50M	Select DSL
PCGK263	PCGK263	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET ACCESS - FIBRE/LL 100M	WAN1 ORCH=RESEAU	1000000	UCPECGK0002	CGK	TELIN	100000	100000	IDN0051379	VMS Dedicated Internet Access - Fibre/LL 100M	Select DSL
PCHC161	PCHC161	gigabitethernet3	U	up	up	WAN-INTERNET-VMS WHOLESALE INTERNET DIRECT (W-ID) 30M	WAN1 ORCH=RESEAU	1000000	UCPECHC0002	CHC	VODAFONE NEW ZEALAND LIMITED	30720	30720	NZL0055171	VMS Wholesale Internet Direct (W-ID) 30M	Select DSL
PCMB483	PCMB483	gigabitethernet3	U	up	up	WAN-INTERNET-VMS INTERNET LL 50M	WAN1 ORCH=RESEAU	1000000	UCPECMB0002	CMB	DIALOG BROADBAND NETWORKS (PVT) LTD	51200	49000	LKA0068872	VMS INTERNET LL 50M	Select DSL
PCNS091	PCNS091	gigabitethernet3	U	up	up	WAN-INTERNET-VMS ETHERNET OVER FIBER - 50M EVOLVE LITE	WAN1 ORCH=RESEAU	1000000	UCPECNS0002	CNS	OPTUS	51200	51200	AUS0047869	VMS Ethernet over Fiber - 50M Evolve Lite	Select DSL
PCPH1627	PCPH1627	gigabitethernet3	U	up	up	WAN-INTERNET-VMS NORDIC INTERNET ACCESS FIBRE 100M	WAN1 ORCH=RESEAU	1000000	UCPECPH0004	CPH	TDC	100000	100000	DNK0048132	VMS Nordic Internet Access Fibre 100M	Select DSL
PCPT623	PCPT623	gigabitethernet3	U	up	up	WAN-INTERNET-VMS WEBREACH 60M	WAN1 ORCH=RESEAU	1000000	UCPECPT0004	CPT	TELKOM SA	61440	61440	ZAF0071773	VMS WebReach 60M	Select DSL
PCRK044	PCRK044	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IGATE 20M	WAN1 ORCH=RESEAU	1000000	UCPECRK0002	CRK	PHILIPPINE LONG DISTANCE TELEPHONE COMPANY	20000	20000	PHL0061278	VMS IGate 20M	Select DSL
PCUN213	PCUN213	gigabitethernet3.1230	U	up	up	LAN	WAN1 ORCH=RESEAU	1000000	UCPECUN0002	CUN	TELMEX	81920	81920	MEX0051462	VMS IDE Ethernet 80M	Select DSL
PDAC673	PDAC673	gigabitethernet3	U	up	up	WAN-INTERNET-VMS RITT.FIBRE 50M	WAN1 ORCH=RESEAU	1000000	UCPEDAC0002	DAC	RANKS INFORMATION TECHNOLOGY & TELECOMMUNICATIONS	51200	51200	BGD0067772	VMS RITT.FIBRE 50M	Select DSL
PDAD087	PDAD087	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET VN < 30M	WAN1 ORCH=RESEAU	1000000	UCPEDAD0001	DAD	Select Offnet	10000	10000	FV31A9EN00	SIA Offnet VN < 30M	Select DSL
PDEL2868	PDEL2868	gigabitethernet3	U	up	up	WAN-INTERNET-SIA OFFNET IN < 100M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEDEL0005	DEL-T3	Select Offnet	93000	98000	FI2GBWEN00	SIA Offnet IN < 100M	Select DSL
PDPS171	PDPS171	gigabitethernet3	U	up	up	WAN-INTERNET-VMS IDIA UP TO 100M	WAN1 ORCH=RESEAU	1000000	UCPEDPS0002	DPS	PT INDOSAT	100000	100000	IDN0080284	VMS IDIA UP to 100M	Select DSL
PDPS172	PDPS172	gigabitethernet3	U	up	up	WAN-INTERNET-VMS DEDICATED INTERNET PREMIUM 50	WAN1 ORCH=RESEAU	1000000	UCPEDPS0003	DPS	PT LINTASARTA	50000	50000	IDN0052351	VMS Dedicated Internet Premium 50	Select DSL
PDRW082	PDRW082	gigabitethernet3	U	up	up	WAN-INTERNET-VMS EVOLVE INTERNET PREMIUM OVER NBN TC2 10M	UCPE-WAN-GE0-1 ORCH=RESEAU	1000000	UCPEDRW0002	DRW	OPTUS	9500	9500	AUS0075162	VMS Evolve Internet Premium over NBN TC2 10M	Select DSL
